description,problem,clean_description
My plant became droopy after moving it to fresh soil,transplant_stress,my plant became droopy after moving it to fresh soil
The plant is experiencing stress after repotting,transplant_stress,the plant is experiencing stress after repotting
The leaves changed after I transplanted the plant,transplant_stress,the leaves changed after i transplanted the plant
My plant is wilting after changing containers,transplant_stress,my plant is wilting after changing containers
The plant looks shocked after being moved,transplant_stress,the plant looks shocked after being moved
Repotting seems to have stressed my plant,transplant_stress,repotting seems to have stressed my plant
Water stays in the pot for a very long time,poor_drainage,water stays in the pot for a very long time
The soil takes too long to dry after watering,poor_drainage,the soil takes too long to dry after watering
My pot does not seem to drain properly,poor_drainage,my pot does not seem to drain properly
Water collects at the bottom of the container,poor_drainage,water collects at the bottom of the container
The soil is compacted and holds too much water,poor_drainage,the soil is compacted and holds too much water
There is no drainage hole in my pot,poor_drainage,there is no drainage hole in my pot
The potting soil stays wet for many days,poor_drainage,the potting soil stays wet for many days
Water is trapped in the bottom of the pot,poor_drainage,water is trapped in the bottom of the pot
My plant container has poor drainage,poor_drainage,my plant container has poor drainage
The soil feels dense and does not drain well,poor_drainage,the soil feels dense and does not drain well
Water remains around the roots after watering,poor_drainage,water remains around the roots after watering
The pot is always heavy with water,poor_drainage,the pot is always heavy with water
My plant sits in water because the container drains slowly,poor_drainage,my plant sits in water because the container drains slowly
The soil becomes muddy after watering,poor_drainage,the soil becomes muddy after watering
The drainage holes appear blocked,poor_drainage,the drainage holes appear blocked
Excess water does not leave the pot,poor_drainage,excess water does not leave the pot
The container does not allow water to escape,poor_drainage,the container does not allow water to escape
The soil is compact and stays soaked,poor_drainage,the soil is compact and stays soaked
Water pools at the bottom of the planter,poor_drainage,water pools at the bottom of the planter
My pot has drainage problems,poor_drainage,my pot has drainage problems
The soil remains wet because water cannot drain,poor_drainage,the soil remains wet because water cannot drain
The container has no proper drainage system,poor_drainage,the container has no proper drainage system
Water accumulates in the pot after watering,poor_drainage,water accumulates in the pot after watering
The soil is waterlogged because of poor drainage,poor_drainage,the soil is waterlogged because of poor drainage
The pot takes days to drain and dry,poor_drainage,the pot takes days to drain and dry
My plant may be suffering because the soil drains poorly,poor_drainage,my plant may be suffering because the soil drains poorly
The pot does not have enough drainage holes,poor_drainage,the pot does not have enough drainage holes
The soil is too dense and holds water,poor_drainage,the soil is too dense and holds water
Excess water stays around the root area,poor_drainage,excess water stays around the root area
The bottom of the pot remains wet,poor_drainage,the bottom of the pot remains wet
My plant container drains very slowly,poor_drainage,my plant container drains very slowly
Water cannot escape properly from the soil,poor_drainage,water cannot escape properly from the soil
The potting mix stays soaked for too long,poor_drainage,the potting mix stays soaked for too long
There is standing water inside the planter,poor_drainage,there is standing water inside the planter
The plant soil has poor drainage,poor_drainage,the plant soil has poor drainage
A stem of my plant is broken,physical_damage,a stem of my plant is broken
The leaves were torn accidentally,physical_damage,the leaves were torn accidentally
My plant was damaged when it fell over,physical_damage,my plant was damaged when it fell over
Someone accidentally broke part of the plant,physical_damage,someone accidentally broke part of the plant
The stem snapped,physical_damage,the stem snapped
The leaves have physical tears,physical_damage,the leaves have physical tears
My plant was damaged during handling,physical_damage,my plant was damaged during handling
A branch broke accidentally,physical_damage,a branch broke accidentally
The plant was knocked over and damaged,physical_damage,the plant was knocked over and damaged
Some leaves were torn,physical_damage,some leaves were torn
The stem was bent and broken,physical_damage,the stem was bent and broken
My plant has damage from being moved,physical_damage,my plant has damage from being moved
A part of the plant was accidentally crushed,physical_damage,a part of the plant was accidentally crushed
The leaves are damaged because something hit the plant,physical_damage,the leaves are damaged because something hit the plant
My plant fell and some stems broke,physical_damage,my plant fell and some stems broke
The plant has visible physical damage,physical_damage,the plant has visible physical damage
A branch has snapped off,physical_damage,a branch has snapped off
The leaves were ripped,physical_damage,the leaves were ripped
My plant was damaged by an accident,physical_damage,my plant was damaged by an accident
The stem is broken after the pot fell,physical_damage,the stem is broken after the pot fell
The plant has been physically injured,physical_damage,the plant has been physically injured
Some foliage was torn during transportation,physical_damage,some foliage was torn during transportation
The leaves have tears from handling,physical_damage,the leaves have tears from handling
A stem was accidentally bent too much,physical_damage,a stem was accidentally bent too much
My plant was bumped and damaged,physical_damage,my plant was bumped and damaged
Part of the plant broke off,physical_damage,part of the plant broke off
The plant was knocked over by accident,physical_damage,the plant was knocked over by accident
The leaves are torn but there are no pests,physical_damage,the leaves are torn but there are no pests
My plant has broken stems from physical damage,physical_damage,my plant has broken stems from physical damage
The foliage was damaged during moving,physical_damage,the foliage was damaged during moving
The plant was crushed slightly,physical_damage,the plant was crushed slightly
A stem broke while I was handling the plant,physical_damage,a stem broke while i was handling the plant
The leaves were damaged by physical contact,physical_damage,the leaves were damaged by physical contact
My plant has torn leaves from an accident,physical_damage,my plant has torn leaves from an accident
The plant suffered mechanical damage,physical_damage,the plant suffered mechanical damage
My plant has stopped growing during winter,dormancy,my plant has stopped growing during winter
The plant is growing very slowly because it is dormant,dormancy,the plant is growing very slowly because it is dormant
Growth has paused during the cold season,dormancy,growth has paused during the cold season
My plant looks healthy but is not producing new growth,dormancy,my plant looks healthy but is not producing new growth
The plant is resting during winter,dormancy,the plant is resting during winter
There is little growth during the colder months,dormancy,there is little growth during the colder months
My plant grows much slower in winter,dormancy,my plant grows much slower in winter
The plant has entered a natural resting period,dormancy,the plant has entered a natural resting period
Growth has temporarily stopped because of the season,dormancy,growth has temporarily stopped because of the season
My plant is not growing but otherwise looks healthy,dormancy,my plant is not growing but otherwise looks healthy
The plant is resting and producing fewer leaves,dormancy,the plant is resting and producing fewer leaves
Growth slows down naturally during winter,dormancy,growth slows down naturally during winter
My plant has reduced growth during the dormant season,dormancy,my plant has reduced growth during the dormant season
The plant is alive but not actively growing,dormancy,the plant is alive but not actively growing
There is no new growth because the plant is dormant,dormancy,there is no new growth because the plant is dormant
My plant is resting during the colder season,dormancy,my plant is resting during the colder season
The plant grows less during winter months,dormancy,the plant grows less during winter months
Growth has slowed because of seasonal dormancy,dormancy,growth has slowed because of seasonal dormancy
My plant looks fine but has stopped growing temporarily,dormancy,my plant looks fine but has stopped growing temporarily
The plant is in a resting phase,dormancy,the plant is in a resting phase
There is little activity during the dormant period,dormancy,there is little activity during the dormant period
My plant is healthy but not growing much in winter,dormancy,my plant is healthy but not growing much in winter
The plant has naturally slowed its growth,dormancy,the plant has naturally slowed its growth
The growth pause seems seasonal,dormancy,the growth pause seems seasonal
My plant is dormant during this time of year,dormancy,my plant is dormant during this time of year
The plant is resting rather than actively growing,dormancy,the plant is resting rather than actively growing
New growth has slowed during the winter season,dormancy,new growth has slowed during the winter season
The plant appears healthy despite slow growth,dormancy,the plant appears healthy despite slow growth
My plant has a seasonal growth slowdown,dormancy,my plant has a seasonal growth slowdown
The plant is temporarily inactive,dormancy,the plant is temporarily inactive
Growth will likely resume in the active season,dormancy,growth will likely resume in the active season
The plant has entered a period of reduced growth,dormancy,the plant has entered a period of reduced growth
My plant is resting and not showing many new leaves,dormancy,my plant is resting and not showing many new leaves
The plant is experiencing normal seasonal dormancy,dormancy,the plant is experiencing normal seasonal dormancy
There is slow growth but no major visible problem,dormancy,there is slow growth but no major visible problem
