id,typeName,category,description,commonExamples,careTips,lightPreference,humidityPreference,temperaturePreference,springInterval,summerInterval,fallInterval,winterInterval,soilPhPreference,drainagePreference,plantToxicity,growthRate,origin
kalanchoe,Kalanchoe,Houseplants - Flowering,"Also known as: Flaming Katy, Florist Kalanchoe. Colorful succulent houseplants with clusters of long-lasting blooms in red, pink, orange, yellow, and white. The most popular species is K. blossfeldiana.","Kalanchoe blossfeldiana (Flaming Katy), K. tomentosa (Panda plant), K. daigremontiana (Mother of thousands), K. pinnata (Cathedral bells)",Water when soil is completely dry — very drought tolerant. Bright indirect to direct light. Low humidity preferred. Well-draining succulent mix. Fertilize monthly during growing season. K. blossfeldiana needs short days (14+ hours darkness) for 6 weeks to rebloom. Deadhead spent flowers. Toxic to pets — contains cardiac glycosides.,brightIndirect,low,"[16, 24]",10.0,10.0,14.0,21.0,neutral,excellentDrainage,toxic,moderate,
lipstick-plant,Lipstick Plant,Houseplants - Flowering,Also known as: Lipstick vine. Trailing gesneriad with tubular red flowers emerging from dark calyxes like lipstick.,Aeschynanthus radicans (Lipstick vine),Water when top inch of soil is dry. Bright indirect light preferred; some morning sun encourages blooms. Medium humidity (40-50%). Fertilize monthly spring through fall with balanced fertilizer at half strength. Trailing habit suits hanging baskets. Non-toxic to pets. Repot every 1-2 years when roots fill container. Remove dead or damaged foliage promptly.；remove peduncle after flowering,brightIndirect,high,"[18, 27]",7.0,7.0,10.0,14.0,neutral,wellDraining,nonToxic,fast,
mandevilla,Mandevilla,Houseplants - Flowering,"Vining plant with trumpet flowers in pink, red, or white; blooms from spring through fall.",Mandevilla sanderi (Rock trumpet),Water when top inch of soil is dry. Bright indirect to direct light preferred. Medium humidity (40-50%). Fertilize weekly spring through fall with bloom fertilizer. Provide trellis or support for climbing. Toxic to pets. Repot every 1-2 years when roots fill container. Remove dead or damaged foliage promptly.,strongDirect,high,"[18, 27]",7.0,7.0,10.0,14.0,neutral,wellDraining,toxic,moderate,
medinilla,Medinilla,Houseplants - Flowering,"Also known as: Rose Grape. Dramatic tropical houseplant with large, leathery leaves and cascading clusters of pink flowers that can last for months.","Medinilla magnifica (Rose grape, Philippine orchid, Showy medinilla)","Water when top 2-3 cm of soil is dry; reduce watering in winter. Bright indirect light—avoid direct sun which scorches leaves. High humidity (60%+) essential; mist daily or use a humidifier. Use well-draining, slightly acidic potting mix. Fertilize every 2 weeks spring through summer with half-strength balanced fertilizer. Needs a cool dry rest period (16-18°C) in winter to trigger reblooming. Non-toxic to pets. Remove dead or damaged foliage promptly.",brightIndirect,high,"[18, 27]",5.0,5.0,7.0,10.0,acidic,wellDraining,nonToxic,moderate,
peace-lilies,Peace Lilies,Houseplants - Flowering,"Aroids with white spathes and dark green foliage, excellent air purifiers, droop dramatically when thirsty as a watering indicator. Includes various cultivars ranging from compact to large.","Spathiphyllum wallisii (Peace lily), S. wallisii 'Domino', S. 'Sensation', S. floribundum, S. 'Mauna Loa'","Keep soil consistently moist but not soggy, water when leaves droop slightly. Fertilize every 6-8 weeks during growing season. Remove spent flowers to encourage new blooms. Repot when roots fill container, typically every 1-2 years. Toxic to humans and pets if ingested; causes mouth irritation. Toxic to pets. Remove any rotting roots and damaged leaves promptly.",mediumIndirect,high,"[18, 27]",4.0,4.0,7.0,10.0,adaptable,moistureRetentive,toxic,moderate,
phalaenopsis-orchids,Phalaenopsis Orchids,Houseplants - Flowering,"Also known as: Moth orchid. Moth orchids, most common and beginner-friendly orchid genus in the Orchidaceae family with long-lasting blooms. Available in various colors.","Phalaenopsis (Moth orchid, Phal), various hybrid cultivars in many colors","Soak roots weekly for 15-20 minutes, then allow to dry between waterings. Never let sit in water. Avoid getting water in crown (center) which causes fatal crown rot. Use well-draining orchid bark mix, never regular potting soil. Bright indirect light preferred; direct sun burns leaves. High humidity (50-70%) preferred. Fertilize weekly spring through fall with orchid fertilizer at quarter strength. Repot every 1-2 years when bark breaks down. Blooms last 2-3 months. Most beginner-friendly orchid. Deadhead spent blooms to encourage reblooming. Prune leggy growth after flowering season.",brightIndirect,high,"[18, 27]",7.0,7.0,10.0,14.0,acidic,wellDraining,nonToxic,moderate,
stephanotis,Stephanotis,Houseplants - Flowering,"Also known as: Madagascar jasmine, Wax flower. Twining vine with waxy, tubular white flowers of exquisite fragrance, traditionally used in wedding bouquets.","Stephanotis floribunda (Madagascar jasmine, Bridal wreath, Wax flower)",Keep soil evenly moist spring through fall; reduce in winter but don't let it dry out completely. Bright indirect light—some morning sun beneficial. High humidity (50-60%+) preferred. Well-draining potting mix. Fertilize every 2 weeks spring through summer with half-strength balanced fertilizer. Provide a trellis or hoop for climbing. Avoid moving once buds form—bud drop is common from changes in position or light. Cool winter rest (13-16°C) promotes flowering. Mildly toxic to pets. Remove dead or damaged foliage promptly.,brightIndirect,high,"[15, 27]",5.0,5.0,7.0,14.0,neutral,wellDraining,mildlyToxic,moderate,
streptocarpus,Cape Primrose,Houseplants - Flowering,"Gesneriad with strappy leaves and trumpet flowers in blue, purple, pink, or white.",Streptocarpus spp. (Cape primrose),Water when top inch of soil is dry. Bright indirect light preferred; avoid direct sun. Medium humidity (40-50%). Fertilize monthly spring through fall with balanced fertilizer at half strength. Long blooming season. Non-toxic to pets. Repot every 1-2 years when roots fill container. Remove dead or damaged foliage promptly.,brightIndirect,medium,"[18, 27]",7.0,7.0,10.0,14.0,neutral,wellDraining,nonToxic,moderate,
tuberous-begonias,Tuberous Begonias,Houseplants - Flowering,"Flowering begonias grown from tubers, often with large showy blooms in various colors.","Begonia × tuberhybrida (Tuberous begonia), various hybrid cultivars",Keep soil evenly moist during active growth (spring through fall). Reduce watering significantly during dormancy period (winter) when leaves die back. Bright indirect light preferred; avoid direct hot sun. High humidity (50-60%) preferred. Fertilize every 2 weeks during active growth with high-phosphorus fertilizer to encourage blooms. Store tubers dry in winter. Repot tubers in spring. Large showy blooms in various colors. Toxic to pets. Deadhead spent blooms to encourage reblooming. Prune leggy growth after flowering season.,mediumIndirect,high,"[18, 24]",5.0,5.0,7.0,10.0,acidic,moistureRetentive,toxic,moderate,
zebra-plant-aphelandra,Zebra Plant,Houseplants - Flowering,Tropical plant with bold white-veined leaves and showy yellow bract flowers; requires consistent moisture and high humidity.,"Aphelandra squarrosa (Zebra plant, Saffron spike zebra)",Keep soil consistently moist but not soggy. Bright indirect light essential. High humidity (60-70%) required—use pebble tray or humidifier. Fertilize monthly spring through fall. Prone to leaf drop if care is inconsistent. Non-toxic to pets. Remove dead or damaged foliage promptly.,brightIndirect,high,"[18, 27]",7.0,7.0,10.0,14.0,neutral,wellDraining,nonToxic,moderate,
calathea-freddie,Calathea Freddie,Houseplants - Prayer Plants,Compact prayer plant with light green leaves featuring bold dark green striping along the veins; folds leaves upward at night.,Goeppertia concinna (syn. Calathea concinna 'Freddie'),Keep soil evenly moist but never soggy; use filtered or distilled water as sensitive to minerals and chlorine. Low to bright indirect light—no direct sun which scorches leaves. High humidity essential (60%+); use humidifier or pebble tray. Fertilize monthly spring through fall at quarter strength. Sensitive to drafts and temperature changes. Non-toxic to pets. Remove yellowing or dead leaves promptly.,lowIndirect,high,"[16, 27]",5.0,5.0,7.0,10.0,acidic,wellDraining,nonToxic,moderate,
calathea-makoyana,Calathea Makoyana,Houseplants - Prayer Plants,"Also known as: Peacock plant, Cathedral windows. Prayer plant with oval leaves featuring peacock-like patterns, leaves fold up at night.","Goeppertia makoyana (Peacock plant, Cathedral windows), Calathea makoyana",Keep soil consistently moist but not soggy. High humidity (60%+) essential - use humidifier or pebble tray. Bright indirect light preferred; avoid direct sun. Use distilled or filtered water to prevent leaf browning. Fertilize monthly spring through fall with balanced fertilizer at half strength. Leaves fold up at night (prayer plant behavior). Repot every 1-2 years. Peacock-like pattern on leaves. Non-toxic to pets. Remove yellowing or dead leaves promptly.,brightIndirect,high,"[18, 27]",3.0,3.0,5.0,7.0,neutral,moistureRetentive,nonToxic,moderate,
calathea-medallion,Calathea Medallion,Houseplants - Prayer Plants,"Popular prayer plant with dark green leaves and purple undersides, requires high humidity, leaves fold up at night.","Goeppertia roseopicta 'Medallion' (Calathea medallion), G. roseopicta 'Dottie' (darker variety), G. roseopicta 'Rosy'","Keep soil evenly moist, never let dry. High humidity (60-70%) essential - use humidifier or pebble tray. Use only distilled or filtered water to prevent leaf browning from minerals. Bright indirect light preferred; direct sun burns leaves. Fertilize monthly spring through fall with balanced fertilizer at half strength. Leaves fold up at night (nyctinasty). Repot every 1-2 years. Wipe leaves monthly. Sensitive to tap water and low humidity. Non-toxic to pets. Remove yellowing or dead leaves promptly.",mediumIndirect,veryHigh,"[18, 24]",4.0,4.0,7.0,10.0,neutral,moistureRetentive,nonToxic,moderate,
calathea-musaica,Calathea Musaica,Houseplants - Prayer Plants,"Stunning prayer plant with an intricate mosaic-like network pattern on its leaves that resembles stained glass or circuit boards, one of the most visually complex leaf patterns in nature.","Goeppertia kegeljanii (syn. Calathea musaica, Network calathea)","Keep soil consistently moist but not waterlogged; very sensitive to drying out. Bright indirect light—no direct sun. High humidity (60%+) essential; leaf edges brown quickly in dry air. Use filtered or distilled water—sensitive to fluoride and chlorine in tap water. Well-draining, peat-based mix. Fertilize monthly spring through fall at quarter strength. Leaves fold up at night (nyctinasty). Non-toxic to pets. Remove yellowing or dead leaves promptly.",brightIndirect,high,"[18, 27]",3.0,3.0,5.0,7.0,acidic,wellDraining,nonToxic,moderate,
calathea-orbifolia,Calathea Orbifolia,Houseplants - Prayer Plants,"Also known as: Round-leaved calathea. Large prayer plant with silver-striped round leaves, requires high humidity, leaves fold up at night (nyctinasty).","Goeppertia orbifolia (Calathea orbifolia, Round-leaved calathea)","Keep soil evenly moist, never let dry. High humidity (60-70%) essential - use humidifier. Use only distilled or filtered water to prevent leaf browning. Bright indirect light preferred; direct sun fades silver stripes. Fertilize monthly spring through fall with balanced fertilizer at half strength. Leaves fold up at night (nyctinasty). Repot every 1-2 years. One of the larger calathea varieties. Wipe large leaves monthly. Non-toxic to pets. Remove yellowing or dead leaves promptly.",mediumIndirect,veryHigh,"[18, 24]",4.0,4.0,7.0,10.0,neutral,moistureRetentive,nonToxic,moderate,
calathea-ornata,Pin-stripe Calathea,Houseplants - Prayer Plants,"Also known as: Pin-stripe plant. Elegant prayer plant with dark green, glossy leaves adorned with thin pink or white pinstripes that fade to cream with age.","Goeppertia ornata (Pin-stripe calathea), G. ornata 'Sanderiana' (Broad-stripe calathea)","Keep soil evenly moist; water when the top inch feels slightly dry. Medium indirect light is ideal — avoid direct sun, which scorches the delicate leaves. Maintain humidity above 60%; mist regularly or use a humidifier. Use filtered, distilled, or rainwater to prevent brown leaf edges from mineral sensitivity. Fertilize monthly during the growing season with a diluted balanced liquid fertilizer. Non-toxic to pets. Trim brown leaf edges with clean scissors. Remove yellowing leaves at the stem. Prune leggy stems to encourage fullness.",mediumIndirect,veryHigh,"[18, 27]",5.0,4.0,7.0,10.0,acidic,moistureRetentive,nonToxic,moderate,
calathea-rattlesnake,Calathea Rattlesnake,Houseplants - Prayer Plants,"Prayer plant with wavy, patterned leaves resembling a rattlesnake's tail.","Goeppertia lancifolia (Calathea rattlesnake, syn. Calathea lancifolia)","Keep soil evenly moist, never let dry. High humidity (60-70%) essential - use humidifier. Use distilled or filtered water to prevent leaf browning. Bright indirect light preferred. Fertilize monthly spring through fall with balanced fertilizer at half strength. Wavy, patterned leaves resembling rattlesnake's tail. Repot every 1-2 years. Wipe leaves monthly. Sensitive to tap water and low humidity. Non-toxic to pets. Remove yellowing or dead leaves promptly.",mediumIndirect,veryHigh,"[18, 24]",4.0,4.0,7.0,10.0,neutral,moistureRetentive,nonToxic,moderate,
calathea-roseopicta,Calathea Roseopicta,Houseplants - Prayer Plants,"Also known as: Rose painted calathea. Prayer plant with oval leaves featuring a bold pink or cream border on dark green, with purple undersides. Multiple popular cultivars.","Goeppertia roseopicta (Rose painted calathea), G. roseopicta 'Medallion', G. roseopicta 'Dottie' (nearly black leaves with pink outline), G. roseopicta 'Rosy' (pink center)",Water when top inch of soil is slightly dry; keep consistently moist. Use filtered water. Medium indirect light preferred. High humidity (60%+) essential — brown leaf edges indicate low humidity. Non-toxic to pets. Remove yellowing or dead leaves promptly.,mediumIndirect,high,"[18, 27]",4.0,4.0,7.0,10.0,acidic,moistureRetentive,nonToxic,moderate,
calathea-vittata,Calathea Vittata,Houseplants - Prayer Plants,"Prayer plant with delicate white pinstripes on bright green, elliptical leaves. More compact than Calathea ornata with finer, more numerous stripes.","Goeppertia elliptica 'Vittata' (syn. Calathea vittata, White-striped calathea)",Water when top inch of soil is slightly dry; keep consistently moist but not soggy. Use filtered water — sensitive to fluoride and chlorine. Medium indirect light; direct sun scorches leaves. High humidity (60%+) essential. Non-toxic to pets. Remove yellowing or dead leaves promptly.,mediumIndirect,high,"[18, 27]",4.0,4.0,7.0,10.0,acidic,moistureRetentive,nonToxic,moderate,
calathea-white-fusion,Calathea White Fusion,Houseplants - Prayer Plants,"Prayer plant with variegated leaves in white, green, and lavender; leaves fold up at night.",Goeppertia lietzei 'White Fusion' (syn. Calathea lietzei 'White Fusion'),"Keep soil evenly moist, never let dry. Bright indirect light preferred; avoid direct sun. High humidity (60%+) essential—variegation reverts in low humidity. Use distilled or filtered water to prevent leaf browning. Fertilize monthly spring through fall with balanced fertilizer at half strength. Repot every 1-2 years when roots fill container. Non-toxic to pets. Remove yellowing or dead leaves promptly.",brightIndirect,veryHigh,"[18, 27]",7.0,7.0,10.0,14.0,neutral,moistureRetentive,nonToxic,moderate,
calathea-white-star,Calathea White Star,Houseplants - Prayer Plants,Prayer plant with bold white stripes on dark green leaves; leaves fold up at night.,"Goeppertia majestica 'Whitestar' (syn. Calathea 'White Star', Calathea majestica 'Whitestar')","Keep soil evenly moist, never let dry. Bright indirect light preferred; avoid direct sun. High humidity (60%+) preferred. Use distilled or filtered water to prevent leaf browning. Fertilize monthly spring through fall with balanced fertilizer at half strength. Repot every 1-2 years when roots fill container. Non-toxic to pets. Remove yellowing or dead leaves promptly.",brightIndirect,veryHigh,"[18, 27]",7.0,7.0,10.0,14.0,neutral,moistureRetentive,nonToxic,moderate,
calathea-zebrina,Zebra Calathea,Houseplants - Prayer Plants,Prayer plant with velvety stripes alternating dark and light green; leaves fold up at night.,Goeppertia zebrina (syn. Calathea zebrina; Zebra plant),"Keep soil evenly moist, never let dry. Bright indirect light preferred; avoid direct sun. Medium to high humidity (50-60%). Use distilled or filtered water to prevent leaf browning. Fertilize monthly spring through fall with balanced fertilizer at half strength. Leaves fold at night. Repot every 1-2 years when roots fill container. Non-toxic to pets. Remove yellowing or dead leaves promptly.",brightIndirect,high,"[18, 27]",7.0,7.0,10.0,14.0,neutral,moistureRetentive,nonToxic,moderate,
ctenanthe,Ctenanthe,Houseplants - Prayer Plants,"Also known as: Fishbone prayer plant. Prayer plants in the Marantaceae family with patterned leaves that fold up at night, more tolerant than some prayer plants.","Ctenanthe burle-marxii (Fishbone prayer plant), C. burle-marxii 'Amagris' (Golden Mosaic), C. setosa (Grey Star), C. oppenheimiana (Never-never plant), C. lubbersiana",Keep soil consistently moist but not soggy. High humidity (60%+) preferred - more tolerant than some prayer plants. Bright indirect light preferred; avoid direct sun. Use distilled or filtered water to prevent leaf browning. Fertilize monthly spring through fall with balanced fertilizer at half strength. Leaves fold up at night (prayer plant behavior). Patterned leaves. Repot every 1-2 years. Trim brown leaf edges with clean scissors. Remove yellowing leaves at the stem. Prune leggy stems to encourage fullness.,brightIndirect,high,"[18, 27]",3.0,3.0,5.0,7.0,neutral,moistureRetentive,nonToxic,moderate,
maranta-prayer-plant,Maranta Prayer Plant,Houseplants - Prayer Plants,Also known as: Maranta Leuconeura. Classic prayer plant with red-veined leaves that fold up at night.,"Maranta leuconeura (Prayer plant), M. leuconeura var. erythroneura (Red prayer plant), M. leuconeura var. kerchoveana (Rabbit tracks)","Keep soil evenly moist, never let dry. High humidity (60-70%) preferred - use humidifier or pebble tray. Use distilled or filtered water to prevent leaf browning. Bright indirect light preferred; direct sun burns leaves. Fertilize monthly spring through fall with balanced fertilizer at half strength. Red-veined leaves fold up at night (nyctinasty). Repot every 1-2 years. Wipe leaves monthly. Remove yellowing or dead leaves promptly.",mediumIndirect,veryHigh,"[18, 24]",4.0,4.0,7.0,10.0,neutral,moistureRetentive,nonToxic,moderate,
prayer-plants,Prayer Plants,Houseplants - Prayer Plants,"Plants in Marantaceae family with leaves that fold up at night (nyctinasty), require high humidity.","Calathea (Goeppertia), Maranta leuconeura (Prayer plant), Stromanthe sanguinea","Keep soil evenly moist, never let dry. High humidity (60-70%) essential - use humidifier. Use only distilled or filtered water to prevent leaf browning from minerals. Bright indirect light preferred; direct sun burns leaves. Fertilize monthly spring through fall with balanced fertilizer at half strength. Leaves fold up at night (nyctinasty). Repot every 1-2 years. Wipe leaves monthly. Sensitive to tap water, low humidity, and drafts. Remove yellowing or dead leaves promptly.",mediumIndirect,veryHigh,"[18, 24]",4.0,4.0,7.0,10.0,neutral,moistureRetentive,nonToxic,moderate,
stromanthe,Stromanthe,Houseplants - Prayer Plants,"Prayer plants in the Marantaceae family with colorful, patterned leaves that fold up at night.","Stromanthe sanguinea 'Triostar' (Tricolor stromanthe), S. sanguinea 'Magic Star' (spotted form), S. thalia","Keep soil consistently moist but not soggy. High humidity (60%+) essential - use humidifier or pebble tray. Bright indirect light preferred; avoid direct sun. Use distilled or filtered water to prevent leaf browning. Fertilize monthly spring through fall with balanced fertilizer at half strength. Leaves fold up at night (prayer plant behavior). Colorful, patterned leaves. Repot every 1-2 years. Remove yellowing or dead leaves promptly.",brightIndirect,high,"[18, 27]",3.0,3.0,5.0,7.0,neutral,moistureRetentive,nonToxic,moderate,
cissus-discolor,Rex Begonia Vine,Houseplants - Vines & Trailing,"Tropical climbing vine with stunning elongated leaves featuring silver, green, and purple coloring with deep red-purple undersides, not a true begonia despite the common name.","Cissus discolor (Rex begonia vine, Tapestry vine)","Keep soil evenly moist but not soggy; sensitive to both drought and overwatering. Bright indirect light—direct sun fades the stunning leaf colors. High humidity (60%+) essential—drops leaves rapidly in dry air. Well-draining potting mix. Fertilize monthly spring through fall at half strength. Provide a trellis or moss pole. May go semi-dormant in winter, losing some leaves—reduce watering. Non-toxic to pets. Remove flower stems and any damaged or rotting leaves promptly.",brightIndirect,high,"[18, 28]",5.0,5.0,7.0,10.0,neutral,wellDraining,nonToxic,fast,
dischidia,Dischidia,Houseplants - Vines & Trailing,"Also known as: String of nickels. Epiphytic succulents related to Hoya, with coin-shaped or heart-shaped leaves; trailing or climbing habit.","Dischidia nummularia (String of nickels), D. ruscifolia",Water when top inch of soil is dry. Bright indirect light preferred. Medium humidity (40-50%). Fertilize monthly spring through fall with balanced fertilizer at half strength. Epiphytic—well-draining mix. Trailing habit suits hanging baskets. Repot every 1-2 years when roots fill container. Remove dead or damaged foliage promptly.,brightIndirect,medium,"[18, 27]",7.0,7.0,10.0,14.0,neutral,wellDraining,nonToxic,fast,
english-ivy,English Ivy,Houseplants - Vines & Trailing,"Classic trailing vine with lobed leaves, can be grown indoors or outdoors.","Hedera helix (English ivy, Common ivy), H. helix 'Glacier', H. helix 'Needlepoint'",Keep soil slightly moist. Cooler temperatures (60-70°F) preferred. Bright indirect light preferred. Medium humidity (40-50%) preferred. Fertilize monthly spring through fall with balanced fertilizer at half strength. Prone to spider mites - mist regularly and inspect leaves. Prune to control length. Repot every 1-2 years. Can be grown indoors or outdoors. Toxic to pets.,brightIndirect,high,"[10, 27]",5.0,5.0,7.0,10.0,adaptable,wellDraining,toxic,moderate,
grape-ivy,Grape Ivy,Houseplants - Vines & Trailing,"Also known as: Venezuela Treebine. Trailing vine with glossy, grape-like trifoliate leaves. Excellent low-maintenance houseplant that tolerates lower light conditions and adapts well to indoor environments. Can trail from hanging baskets or climb a moss pole.","Cissus rhombifolia (Grape ivy, Oak leaf ivy), C. alata",Water when top inch of soil is dry. Allow to dry between waterings. Bright indirect light preferred. Medium humidity (40-50%) is fine. Fertilize monthly spring through fall with balanced fertilizer at half strength. Prune to control length. Repot every 1-2 years. Easy-care houseplant. Grape-like leaves. Can trail or climb with support.,brightIndirect,medium,"[18, 27]",7.0,7.0,10.0,14.0,neutral,wellDraining,nonToxic,fast,
hoya-australis,Hoya Australis,Houseplants - Vines & Trailing,"Vining Hoya with waxy, oval leaves and fragrant white flowers with red centers.",Hoya australis,Water when top inch of soil is dry. Bright indirect light preferred. Medium humidity (40-50%). Fertilize monthly spring through fall with balanced fertilizer at half strength. Allow soil to dry between waterings. Repot every 2-3 years when roots fill container. Remove dead or damaged foliage promptly.,brightIndirect,medium,"[18, 27]",7.0,7.0,10.0,14.0,neutral,wellDraining,nonToxic,fast,
hoya-bella,Hoya Bella,Houseplants - Vines & Trailing,"Compact, trailing hoya with small, pointed leaves and clusters of star-shaped, fragrant white flowers with pink or purple centers. One of the most popular hoyas for hanging baskets.","Hoya lanceolata subsp. bella (Hoya bella, Miniature wax plant, Beautiful hoya)",Water when top inch of soil is dry. Bright indirect light encourages blooming. Do not remove spent flower stalks (peduncles) — new flowers emerge from the same spurs. Average to high humidity preferred. Fertilize monthly spring through summer. Mildly toxic. Remove dead or damaged foliage promptly.,brightIndirect,medium,"[18, 27]",7.0,7.0,10.0,14.0,neutral,wellDraining,mildlyToxic,fast,
hoya-callistophylla,Hoya Callistophylla,Houseplants - Vines & Trailing,"Distinctive Hoya species with long, pointed leaves featuring prominent dark veining on a light green background, giving a stained-glass appearance. A highly sought-after collector Hoya.",Hoya callistophylla,Allow soil to dry between waterings. Bright indirect light for best leaf coloring; tolerates medium light. Do not remove flower peduncles as they rebloom from the same stalk. Well-draining aroid or orchid mix with bark and perlite. Fertilize monthly spring through fall. Slow to moderate grower. Leaves develop best venation pattern with good light. Non-toxic to pets. Remove dead or damaged foliage promptly.,brightIndirect,medium,"[15, 29]",10.0,7.0,14.0,21.0,neutral,excellentDrainage,nonToxic,fast,
hoya-compacta,Hoya Compacta,Houseplants - Vines & Trailing,"Hoya carnosa cultivar with twisted, curled leaves creating a rope-like appearance; Hindu rope.",Hoya carnosa 'Compacta',Water when top inch of soil is dry. Bright indirect light preferred. Medium humidity (40-50%). Fertilize monthly spring through fall with balanced fertilizer at half strength. Slow-growing. Waxy pink flowers when mature. Repot every 2-3 years when roots fill container. Remove dead or damaged foliage promptly.,brightIndirect,medium,"[18, 27]",7.0,7.0,10.0,14.0,neutral,wellDraining,nonToxic,fast,
hoya-cumingiana,Hoya Cumingiana,Houseplants - Vines & Trailing,"Compact Hoya species with small, thick oval leaves and fragrant yellow star-shaped flower clusters. One of the easier Hoyas to bring into bloom.",Hoya cumingiana,"Allow soil to dry out between waterings — water thoroughly when dry. Bright indirect light encourages blooming; tolerates medium light. Do not remove spent flower stalks as new blooms emerge from the same peduncle. Well-draining mix essential — orchid bark, perlite, and peat. Fertilize monthly spring through fall with balanced fertilizer. Non-toxic to pets. Remove dead or damaged foliage promptly.",brightIndirect,medium,"[15, 29]",10.0,7.0,14.0,21.0,neutral,excellentDrainage,nonToxic,fast,
hoya-curtisii,Hoya Curtisii,Houseplants - Vines & Trailing,"Trailing Hoya with small, silver-mottled leaves; ideal for hanging baskets.",Hoya curtisii,Water when top inch of soil is dry. Bright indirect light preferred. Medium humidity (40-50%). Fertilize monthly spring through fall with balanced fertilizer at half strength. Compact growth. Repot every 2-3 years when roots fill container. Remove dead or damaged foliage promptly.,brightIndirect,medium,"[18, 27]",7.0,7.0,10.0,14.0,neutral,wellDraining,nonToxic,fast,
hoya-krimson-queen,Hoya Krimson Queen,Houseplants - Vines & Trailing,"Also known as: Variegated wax plant. Popular variegated Hoya carnosa cultivar with creamy white to pink margins on waxy, semi-succulent leaves.","Hoya carnosa 'Krimson Queen' (Tricolor hoya, Variegated wax plant)","Allow soil to dry out between waterings; water thoroughly when the top 2-3 cm feel dry. Bright indirect light is essential to maintain variegation — some morning sun encourages pink tones on new growth. Use a well-draining, chunky mix with orchid bark and perlite. Maintain 40-60% humidity; tolerates average home humidity. Fertilize monthly in spring and summer with balanced fertilizer at half strength. Do not remove spent flower peduncles, as they rebloom from the same spurs. Non-toxic to pets. Remove dead or damaged foliage promptly.",brightIndirect,medium,"[16, 27]",7.0,7.0,10.0,14.0,neutral,wellDraining,nonToxic,fast,
hoya-linearis,Hoya Linearis,Houseplants - Vines & Trailing,"Trailing Hoya with long, narrow, fuzzy leaves; pendulous habit suits hanging baskets.",Hoya linearis,Water when top inch of soil is dry. Bright indirect light preferred. Medium humidity (40-50%). Fertilize monthly spring through fall with balanced fertilizer at half strength. Fragrant white flowers. Repot every 2-3 years when roots fill container. Remove dead or damaged foliage promptly.,brightIndirect,medium,"[18, 27]",7.0,7.0,10.0,14.0,neutral,wellDraining,nonToxic,fast,
hoya-mathilde,Hoya Mathilde,Houseplants - Vines & Trailing,Compact Hoya with silver-flecked leaves; hybrid of H. serpens × H. carnosa.,Hoya mathilde,Water when top inch of soil is dry. Bright indirect light preferred. Medium humidity (40-50%). Fertilize monthly spring through fall with balanced fertilizer at half strength. Slow-growing. Repot every 2-3 years when roots fill container. Remove dead or damaged foliage promptly.,brightIndirect,medium,"[18, 27]",7.0,7.0,10.0,14.0,neutral,wellDraining,nonToxic,fast,
hoya-obovata,Hoya Obovata,Houseplants - Vines & Trailing,"Large, round-leaved Hoya with thick, often silver-splashed foliage. Splash markings are the standard form. Produces fragrant star-shaped flower clusters.",Hoya obovata,Water when top inch of soil is dry. Bright indirect light preferred. Medium humidity (40-50%). Fertilize monthly spring through fall with balanced fertilizer at half strength. Pink flowers in clusters. Repot every 2-3 years when roots fill container. Remove dead or damaged foliage promptly.,brightIndirect,medium,"[18, 27]",7.0,7.0,10.0,14.0,neutral,wellDraining,nonToxic,fast,
hoya-pubicalyx,Hoya Pubicalyx,Houseplants - Vines & Trailing,Fast-growing Hoya with silver-flecked leaves and fragrant dark pink or red flowers.,Hoya pubicalyx,Water when top inch of soil is dry. Bright indirect light preferred. Medium humidity (40-50%). Fertilize monthly spring through fall with balanced fertilizer at half strength. Prolific bloomer. Repot every 2-3 years when roots fill container. Remove dead or damaged foliage promptly.,brightIndirect,medium,"[18, 27]",7.0,7.0,10.0,14.0,neutral,wellDraining,nonToxic,fast,
hoya-wayetii,Hoya Wayetii,Houseplants - Vines & Trailing,"Trailing hoya with narrow, elongated leaves edged in red or dark maroon, producing clusters of fragrant star-shaped flowers when mature.","Hoya wayetii, H. wayetii 'Variegata'",Allow soil to dry mostly between waterings (every 1-2 weeks). Bright indirect light preferred—some direct morning sun enhances leaf color. Medium humidity (40-50%) fine. Well-draining mix with perlite and orchid bark. Fertilize monthly spring through fall at half strength. Don't remove old flower stems (peduncles)—they rebloom. Let it become slightly rootbound for flowering. Non-toxic to pets. Remove dead or damaged foliage promptly.,brightIndirect,medium,"[15, 28]",7.0,7.0,10.0,14.0,neutral,wellDraining,nonToxic,fast,
philodendron-brasil,Philodendron Brasil,Houseplants - Vines & Trailing,"Also known as: Lemon-lime philodendron. Variegated heart-leaf philodendron with green and yellow-chartreuse leaves, easy-care trailing plant.","Philodendron hederaceum 'Brasil' (Brasil philodendron, Lemon-lime philodendron)",Water when top inch of soil is dry. Very forgiving of inconsistent care. Bright indirect light maintains variegation; tolerates low light but may lose variegation. Medium humidity (40-50%) is fine. Fertilize monthly spring through fall with balanced fertilizer at half strength. Fast-growing trailing plant. Prune to control length. Repot every 1-2 years. Green and yellow-chartreuse variegation. Toxic to pets.,brightIndirect,medium,"[18, 27]",7.0,7.0,10.0,14.0,neutral,wellDraining,mildlyToxic,fast,
